frame,time_s,temperature_C,austenite_fraction,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,diameter_true_px,diameter_max_feret_true_px,area_proj_true_px2,area_proj_true_norm,area_proj_model_true_px2,area_proj_raster_true_px2,area_proj_contour_true_px2
115,5.75,37.9699,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
116,5.8,38.0827,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
117,5.85,38.1955,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
118,5.9,38.3083,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
119,5.95,38.4211,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
120,6.0,38.5338,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
121,6.05,38.6466,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25273.998,25274.0,26105.0
122,6.1,38.7594,1.1e-05,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25273.9512,25274.0,26105.0
123,6.15,38.8722,4.4e-05,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25273.8047,25274.0,26105.0
124,6.2,38.985,0.000107,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25273.5312,25274.0,26105.0
125,6.25,39.0977,0.000205,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25273.1016,25274.0,26105.0
126,6.3,39.2105,0.000342,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25272.5,25274.0,26105.0
127,6.35,39.3233,0.000524,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25271.7051,25274.0,26105.0
128,6.4,39.4361,0.000753,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25270.7031,25274.0,26105.0
129,6.45,39.5489,0.001033,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25269.4766,25274.0,26105.0
130,6.5,39.6617,0.001366,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25268.0156,25274.0,26105.0
131,6.55,39.7744,0.001756,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25266.3086,25274.0,26105.0
132,6.6,39.8872,0.002206,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25264.3398,25274.0,26105.0
133,6.65,40.0,0.002717,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25262.1016,25274.0,26105.0
134,6.7,40.1128,0.003292,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25259.584,25274.0,26105.0
135,6.75,40.2256,0.003934,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25256.7754,25274.0,26105.0
136,6.8,40.3383,0.004644,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25253.666,25274.0,26105.0
137,6.85,40.4511,0.005424,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25250.2461,25274.0,26105.0
138,6.9,40.5639,0.006277,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25246.5117,25274.0,26105.0
139,6.95,40.6767,0.007204,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25242.4531,25274.0,26105.0
140,7.0,40.7895,0.008206,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25238.0625,25274.0,26105.0
141,7.05,40.9023,0.009286,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25233.3301,25274.0,26105.0
142,7.1,41.015,0.010446,414.5146,344.889,344.2752,88.5,89.6458,19690.144,1.007539,25228.25,25136.0,25956.0
143,7.15,41.1278,0.011685,414.5146,344.882,344.2691,88.0,89.6463,19589.2465,1.002376,25222.8184,25134.0,25951.0
144,7.2,41.2406,0.013007,414.5146,344.8885,344.2772,87.5,89.6465,19597.1417,1.00278,25217.0234,25131.0,25950.0
145,7.25,41.3534,0.014413,414.5145,347.8757,347.2553,87.0,89.6491,19578.3728,1.00182,25210.8633,25135.0,25951.0
146,7.3,41.4662,0.015903,414.515,347.885,347.2678,87.0,89.6372,19631.4449,1.004536,25204.3262,25143.0,25958.0
147,7.35,41.5789,0.01748,414.5157,347.8752,347.2126,87.0,89.6233,19569.3545,1.001358,25197.4102,25152.0,25967.0
148,7.4,41.6917,0.019145,414.5155,344.8699,344.2296,87.5,89.6726,19612.4188,1.003562,25190.1094,25179.0,25990.5
149,7.45,41.8045,0.020899,414.5153,347.873,347.2402,87.0,89.8387,19636.6415,1.004801,25182.4121,25196.0,26007.0
150,7.5,41.9173,0.022744,414.5151,347.8755,347.2562,87.0,89.8391,19557.3678,1.000745,25174.3164,25209.0,26021.0
151,7.55,42.0301,0.024681,414.5153,344.8713,344.2434,88.5,89.8388,19569.0635,1.001344,25165.8164,25213.0,26030.0
152,7.6,42.1429,0.026711,414.5154,344.8742,344.2565,87.5,90.8794,19566.2692,1.001201,25156.9023,25223.0,26037.0
153,7.65,42.2556,0.028837,414.5155,344.8727,344.2406,88.0,90.9209,19524.1997,0.999048,25147.5703,25220.0,26049.0
154,7.7,42.3684,0.031059,412.5182,344.8577,344.2014,88.0,90.92,19537.9963,0.999754,25137.8086,25095.0,25914.0
155,7.75,42.4812,0.03338,412.5182,344.865,344.228,87.0,90.92,19529.5276,0.999321,25127.6133,25099.0,25917.0
156,7.8,42.594,0.035801,412.518,344.8737,344.2527,87.0,90.9201,19527.1308,0.999198,25116.9746,25110.0,25919.0
157,7.85,42.7068,0.038325,412.5182,344.8716,344.2442,89.5,90.92,19606.4618,1.003257,25105.8828,25118.0,25923.0
158,7.9,42.8195,0.040962,412.5181,344.8711,344.243,89.5,90.9201,19529.9911,0.999344,25094.293,25119.0,25927.0
159,7.95,42.9323,0.043734,412.5179,344.8653,344.2211,89.5,91.1244,19535.5993,0.999631,25082.1113,25124.0,25934.0
160,8.0,43.0451,0.046662,412.5181,344.8695,344.2218,89.5,91.1652,19565.8464,1.001179,25069.25,25123.0,25939.0
161,8.05,43.1579,0.049758,410.5207,341.8848,341.2818,90.0,91.1603,19677.7201,1.006903,25055.6523,25013.0,25817.0
162,8.1,43.2707,0.053021,410.5208,341.88,341.268,90.0,91.1595,19668.4263,1.006428,25041.3203,25001.0,25808.0
163,8.15,43.3835,0.056451,410.521,341.8806,341.2722,90.0,91.1582,19674.4677,1.006737,25026.2598,24999.0,25808.5
164,8.2,43.4962,0.060046,410.5206,341.878,341.2454,89.5,91.1606,19539.383,0.999825,25010.4727,25010.0,25813.0
165,8.25,43.609,0.063806,410.5206,341.8825,341.2658,89.5,91.1604,19566.6864,1.001222,24993.9668,25019.0,25816.0
166,8.3,43.7218,0.067728,408.5241,341.8865,341.2956,89.5,91.1504,19362.8421,0.990791,24976.7461,24962.0,25741.0
167,8.35,43.8346,0.071811,408.5248,338.8841,338.2684,89.5,91.3325,19510.6656,0.998355,24958.8203,24933.0,25722.5
168,8.4,43.9474,0.076054,408.5245,338.8866,338.2695,90.0,91.8308,19708.5225,1.00848,24940.1914,24938.0,25729.5
169,8.45,44.0602,0.080455,408.5245,338.8729,338.2469,89.0,91.8308,19559.2474,1.000841,24920.875,24941.0,25744.0
170,8.5,44.1729,0.085012,408.5247,338.8761,338.2373,89.5,92.1296,19422.9968,0.993869,24900.8711,24949.0,25757.0
171,8.55,44.2857,0.089722,406.5274,338.9073,338.3299,89.5,92.2588,19233.7027,0.984183,24880.1895,24859.0,25658.0
172,8.6,44.3985,0.094584,406.5274,338.9108,338.3407,88.5,92.3447,19421.3324,0.993784,24858.8438,24864.0,25650.0
173,8.65,44.5113,0.099596,406.5276,338.8729,338.2274,89.5,92.8708,19527.2039,0.999202,24836.8398,24870.0,25654.5
174,8.7,44.6241,0.104754,405.5294,335.895,335.3002,91.5,92.8696,19413.3977,0.993378,24814.1875,24806.0,25592.0
175,8.75,44.7368,0.110057,404.5308,335.9,335.3052,91.5,92.9123,19330.5643,0.98914,24790.8945,24779.0,25560.0
176,8.8,44.8496,0.115503,404.5307,335.9,335.3235,91.5,93.1306,19282.76,0.986693,24766.9766,24756.0,25542.5
177,8.85,44.9624,0.121088,404.5304,335.9079,335.3373,91.5,93.1324,19568.0052,1.001289,24742.4375,24762.0,25543.5
178,8.9,45.0752,0.126811,402.5332,332.9042,332.3724,92.0,93.1704,19087.006,0.976677,24717.2891,24691.0,25460.0
179,8.95,45.188,0.132669,402.534,332.8993,332.3328,92.0,93.1655,19061.2181,0.975357,24691.541,24682.0,25449.0
180,9.0,45.3008,0.138659,402.5353,332.8953,332.2949,92.0,93.1572,19213.3318,0.983141,24665.2051,24675.0,25447.5
181,9.05,45.4135,0.144779,400.5382,332.8994,332.2367,92.0,93.1509,19116.0577,0.978163,24638.293,24593.0,25375.0
182,9.1,45.5263,0.151026,400.5386,329.9139,329.339,94.0,93.8172,19341.5891,0.989704,24610.8125,24603.0,25373.5
183,9.15,45.6391,0.157395,400.5384,329.9175,329.3215,94.0,94.1739,19179.3674,0.981403,24582.7812,24607.0,25374.0
184,9.2,45.7519,0.163886,398.5409,329.9057,329.2897,92.5,94.3084,18825.6626,0.963304,24554.207,24551.0,25309.5
185,9.25,45.8647,0.170494,398.5415,329.9225,329.3369,92.5,94.3991,19143.0712,0.979546,24525.1016,24560.0,25312.5
186,9.3,45.9774,0.177216,397.5436,326.9139,326.3386,93.0,94.9026,18853.5816,0.964733,24495.4766,24551.0,25297.5
187,9.35,46.0902,0.18405,396.5453,326.9094,326.319,93.0,94.9017,18834.6041,0.963761,24465.3438,24478.0,25252.0
